company_name,industry,sector
KraneShares CSI China Internet ETF,Fund/ETF/Bond,Finance
PowerShares LadderRite 0,Fund/ETF/Bond,Finance
First Trust Low Duration Mortgage Opportunities ETF,Fund/ETF/Bond,Finance
FlexShares Disciplined Duration MBS Index Fund,Fund/ETF/Bond,Finance
First Trust Exchange,Fund/ETF/Bond,Finance
Monroe Capital Corporation,Finance Companies,Finance
Newtek Business Services Corp.,Finance/Investors Services,Finance
OFS Capital Corporation,Investment Managers,Finance
OHA Investment Corporation,Investment Managers,Finance
Fidelity Nasdaq Composite Index Tracking Stock,Fund/ETF/Bond,Finance
Opus Bank,Banks,Finance
Oxford Lane Capital Corp.,Investment Managers,Finance
PowerShares DB Optimum Yield Diversified Commodity Strategy Portfolio,Fund/ETF/Bond,Finance
Preferred Bank,Banks,Finance
PennantPark Floating Rate Capital Ltd.,Finance Companies,Finance
First Trust ISE Global Platinum Index Fund,Fund/ETF/Bond,Finance
Pingtan Marine Enterprise Ltd.,Meat/Poultry/Fish,Consumer Non-Durables
PennantPark Investment Corporation,Investment Managers,Finance
PowerShares Nasdaq Internet Portfolio,Fund/ETF/Bond,Finance
PowerShares FTSE RAFI US 1500 Small,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Consumer Staples Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Consumer Discretionary Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Energy Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Financials Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Health Care Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Industrials Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Materials Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Information Technology Portfolio,Fund/ETF/Bond,Finance
PowerShares S&P SmallCap Utilities Portfolio,Fund/ETF/Bond,Finance
Prospect Capital Corporation,Investment Managers,Finance
First Trust NASDAQ ABA Community Bank Index Fund,Fund/ETF/Bond,Finance
iShares MSCI Qatar Capped ETF,Fund/ETF/Bond,Finance
First Trust NASDAQ Clean Edge Green Energy Index Fund,Fund/ETF/Bond,Finance
First Trust NASDAQ,Fund/ETF/Bond,Finance
"PowerShares QQQ Trust, Series 1",Fund/ETF/Bond,Finance
Nuveen NASDAQ 100 Dynamic Overwrite Fund,Fund/ETF/Bond,Finance
Recon Capital NASDAQ,Fund/ETF/Bond,Finance
